Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,01. General operating,13077,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,Total funds,4862498,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,07. Capital,408882,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,06. Ancillary,198968,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,04. Sponsored Research - Entities Not Consolidated,944981,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,03. Sponsored Research - Entities Consolidated,492368,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,02. Special Purpose and Trust,162204,,,,,,,,,,
2022-2023,University of Toronto,581,English, Ontario,01. General operating,2655095,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,Total funds,30447,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,07. Capital,6379,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,06. Ancillary,4331,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,03. Sponsored Research - Entities Consolidated,129,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,02. Special Purpose and Trust,3496,,,,,,,,,,
2022-2023,University of St. Michael's College,569,English, Ontario,01. General operating,16112,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,Total funds,306305,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,08. Endowment,0,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,07. Capital,8832,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,06. Ancillary,9440,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,44144,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,02. Special Purpose and Trust,16549,,,,,,,,,,
2022-2023,University of Regina,752,English, Saskatchewan,01. General operating,227340,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,Total funds,206680,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,08. Endowment,0,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,07. Capital,38450,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,06. Ancillary,7118,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,03. Sponsored Research - Entities Consolidated,11358,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,02. Special Purpose and Trust,837,,,,,,,,,,
2022-2023,University of Prince Edward Island,184,English, Prince Edward Island,01. General operating,148917,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,Total funds,1703310,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,07. Capital,155188,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,06. Ancillary,31373,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,04. Sponsored Research - Entities Not Consolidated,284627,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,03. Sponsored Research - Entities Consolidated,176202,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,02. Special Purpose and Trust,102308,,,,,,,,,,
2022-2023,University of Ottawa / Université d,555,English, Ontario,01. General operating,953612,,,,,,,,,,
2022-2023,University of Ontario Institute of,553,English, Ontario,Total funds,231062,,,,,,,,,,
2022-2023,University of Ontario Institute of,553,English, Ontario,08. Endowment,0,,,,,,,,,,
